source,target,weight,source_type,target_type
4981,838,-15.197403266913527,Nematocyte-related,Epidermal/Muscle-related
4771,5563,15.187087354877677,Nematocyte-related,Epidermal/Muscle-related
4771,6223,15.186789067354846,Nematocyte-related,Epidermal/Muscle-related
4855,2090,-15.178625696844511,Nematocyte-related,Nematocyte-related
4981,3751,-15.157999873649276,Nematocyte-related,Epidermal/Muscle-related
4855,6074,15.143699618321854,Nematocyte-related,Epidermal/Muscle-related
4971,2309,-15.13449190908487,Nematocyte-related,Epidermal/Muscle-related
4981,673,15.134028060972117,Nematocyte-related,Epidermal/Muscle-related
4771,6902,-15.09286383415758,Nematocyte-related,Neural-related
4821,6970,-15.082298330257645,Epidermal/Muscle-related,Nematocyte-related
4855,6078,15.076959363713263,Nematocyte-related,Epidermal/Muscle-related
4821,2971,-15.064166022203587,Epidermal/Muscle-related,Nematocyte-related
4821,2068,-15.052405045572284,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,2471,15.048511968694664,Nematocyte-related,Epidermal/Muscle-related
4981,3189,15.031243662449496,Nematocyte-related,Nematocyte-related
4855,1455,15.002579239789084,Nematocyte-related,Epidermal/Muscle-related
4771,2019,14.99842540271508,Nematocyte-related,Nematocyte-related
4821,918,-14.994718193500802,Epidermal/Muscle-related,Epidermal/Muscle-related
4821,5657,14.983227270409657,Epidermal/Muscle-related,Nematocyte-related
4821,2309,14.970219763863577,Epidermal/Muscle-related,Epidermal/Muscle-related
4968,5424,-14.944713767316248,Nematocyte-related,Nematocyte-related
4811,5624,-14.942276405250562,Nematocyte-related,Epidermal/Muscle-related
4831,5624,-14.94208749363877,Nematocyte-related,Epidermal/Muscle-related
4699,357,14.941997619848363,Epidermal/Muscle-related,Neural-related
4855,2326,-14.917476817317857,Nematocyte-related,Epidermal/Muscle-related
4981,1922,-14.88582204790549,Nematocyte-related,Neural-related
4821,2503,-14.880459680016092,Epidermal/Muscle-related,Epidermal/Muscle-related
4771,5359,14.826573526237347,Nematocyte-related,Neural-related
4855,5563,14.82052758528768,Nematocyte-related,Epidermal/Muscle-related
4968,6065,-14.818137753990662,Nematocyte-related,Nematocyte-related
4771,6074,14.811611385626643,Nematocyte-related,Epidermal/Muscle-related
4821,634,14.806183695863819,Epidermal/Muscle-related,Epidermal/Muscle-related
4925,1583,14.803026488535366,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,333,14.794074889111112,Nematocyte-related,Epidermal/Muscle-related
4981,5424,-14.788177088887767,Nematocyte-related,Nematocyte-related
4886,5459,-14.787592954901804,Epidermal/Muscle-related,Neural-related
4990,3193,-14.770580793836174,Nematocyte-related,Neural-related
4771,2824,14.766103019520967,Nematocyte-related,Nematocyte-related
4968,2309,-14.762155884187626,Nematocyte-related,Epidermal/Muscle-related
4760,5424,-14.754429790122968,Neural-related,Nematocyte-related
4990,4006,-14.753236185920525,Nematocyte-related,Neural-related
4771,7050,14.741286555491142,Nematocyte-related,Epidermal/Muscle-related
4821,5836,-14.737192844254583,Epidermal/Muscle-related,Epidermal/Muscle-related
4380,812,14.736923476748766,Nematocyte-related,Nematocyte-related
4771,981,14.734514875902876,Nematocyte-related,Epidermal/Muscle-related
4925,5460,14.72366771629284,Epidermal/Muscle-related,Nematocyte-related
4771,3815,-14.711543944377459,Nematocyte-related,Nematocyte-related
4854,2309,14.699250810965728,Nematocyte-related,Epidermal/Muscle-related
4925,2309,14.696310249618753,Epidermal/Muscle-related,Epidermal/Muscle-related
4981,6360,-14.6950007755202,Nematocyte-related,Nematocyte-related
4821,4466,-14.670012337979545,Epidermal/Muscle-related,Nematocyte-related
4978,3289,-14.669475929110826,Nematocyte-related,Neural-related
4981,1455,-14.666685544198835,Nematocyte-related,Epidermal/Muscle-related
4821,2686,-14.647903534647964,Epidermal/Muscle-related,Epidermal/Muscle-related
4981,2936,14.643167208235816,Nematocyte-related,Epidermal/Muscle-related
4981,4229,-14.641414492725872,Nematocyte-related,Nematocyte-related
4981,6118,-14.631365830644372,Nematocyte-related,Nematocyte-related
4981,5277,14.627761855496924,Nematocyte-related,Neural-related
4925,1956,14.62209884937231,Epidermal/Muscle-related,Nematocyte-related
4855,4034,-14.612393155455802,Nematocyte-related,Nematocyte-related
4925,3048,14.604466387266427,Epidermal/Muscle-related,Epidermal/Muscle-related
4972,4048,14.583484254337924,Nematocyte-related,Neural-related
4821,2102,-14.561603764338063,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,2019,14.554087753904742,Nematocyte-related,Nematocyte-related
4821,3882,-14.539657815983233,Epidermal/Muscle-related,Epidermal/Muscle-related
4901,5424,14.536294908902164,Nematocyte-related,Nematocyte-related
4771,5424,14.527017969643738,Nematocyte-related,Nematocyte-related
4855,3350,14.526549274783504,Nematocyte-related,Neural-related
4821,4018,14.516181802538396,Epidermal/Muscle-related,Epidermal/Muscle-related
4981,931,-14.510012753104093,Nematocyte-related,Epidermal/Muscle-related
4886,3289,-14.487358657531097,Epidermal/Muscle-related,Neural-related
4855,838,14.485101491458291,Nematocyte-related,Epidermal/Muscle-related
4983,5424,-14.48130012164207,Nematocyte-related,Nematocyte-related
4855,6902,-14.476998766023621,Nematocyte-related,Neural-related
4991,577,-14.458484032594964,Neural-related,Epidermal/Muscle-related
4821,940,-14.450523004471618,Epidermal/Muscle-related,Epidermal/Muscle-related
4863,5624,-14.449853075639957,Nematocyte-related,Epidermal/Muscle-related
4981,2394,-14.447956833882778,Nematocyte-related,Nematocyte-related
